"Date","Price","Open","High","Low","Change %"
"May 28, 1996","6.675","6.675","6.675","6.675","0.27%"
"May 24, 1996","6.657","6.657","6.657","6.657","-0.33%"
"May 23, 1996","6.679","6.679","6.679","6.679","0.71%"
"May 22, 1996","6.632","6.632","6.632","6.632","-0.45%"
"May 21, 1996","6.662","6.662","6.662","6.662","0.20%"
"May 20, 1996","6.649","6.649","6.649","6.649","-0.08%"
"May 17, 1996","6.654","6.654","6.654","6.654","-1.03%"
"May 16, 1996","6.723","6.723","6.723","6.723","1.23%"
"May 15, 1996","6.641","6.641","6.641","6.641","0.00%"
"May 14, 1996","6.641","6.641","6.641","6.641","-1.16%"
"May 13, 1996","6.719","6.719","6.719","6.719","-0.39%"
"May 10, 1996","6.745","6.745","6.745","6.745","-1.52%"
"May 09, 1996","6.849","6.849","6.849","6.849","1.60%"
"May 08, 1996","6.741","6.741","6.741","6.741","-1.63%"
"May 07, 1996","6.853","6.853","6.853","6.853","0.07%"
"May 06, 1996","6.848","6.848","6.848","6.848","-0.68%"
"May 03, 1996","6.895","6.895","6.895","6.895","0.50%"
"May 02, 1996","6.861","6.861","6.861","6.861","2.79%"
"May 01, 1996","6.675","6.675","6.675","6.675","-0.06%"
"Apr 30, 1996","6.679","6.679","6.679","6.679","1.12%"
"Apr 29, 1996","6.605","6.605","6.605","6.605","1.12%"
"Apr 26, 1996","6.532","6.532","6.532","6.532","-0.06%"
"Apr 25, 1996","6.536","6.536","6.536","6.536","-0.76%"
"Apr 24, 1996","6.586","6.586","6.586","6.586","1.04%"
"Apr 23, 1996","6.518","6.518","6.518","6.518","0.49%"
"Apr 22, 1996","6.486","6.486","6.486","6.486","-0.48%"
"Apr 19, 1996","6.517","6.517","6.517","6.517","-0.69%"
"Apr 18, 1996","6.562","6.562","6.562","6.562","0.55%"
"Apr 17, 1996","6.526","6.526","6.526","6.526","0.63%"
"Apr 16, 1996","6.485","6.485","6.485","6.485","0.36%"
"Apr 15, 1996","6.462","6.462","6.462","6.462","-0.62%"
"Apr 12, 1996","6.502","6.502","6.502","6.502","-2.46%"
"Apr 11, 1996","6.666","6.666","6.666","6.666","0.00%"
"Apr 10, 1996","6.666","6.666","6.666","6.666","1.76%"
"Apr 09, 1996","6.551","6.551","6.551","6.551","-0.83%"
"Apr 08, 1996","6.606","6.606","6.606","6.606","0.62%"
"Apr 05, 1996","6.565","6.565","6.565","6.565","3.40%"
"Apr 04, 1996","6.349","6.349","6.349","6.349","1.44%"
"Apr 03, 1996","6.259","6.259","6.259","6.259","0.56%"
"Apr 02, 1996","6.224","6.224","6.224","6.224","-0.91%"
"Apr 01, 1996","6.281","6.281","6.281","6.281","-0.84%"
"Mar 29, 1996","6.334","6.334","6.334","6.334","-1.05%"
"Mar 28, 1996","6.401","6.401","6.401","6.401","0.85%"
"Mar 27, 1996","6.347","6.347","6.347","6.347","1.70%"
"Mar 26, 1996","6.241","6.241","6.241","6.241","0.00%"
"Mar 25, 1996","6.241","6.241","6.241","6.241","-1.31%"
"Mar 22, 1996","6.324","6.324","6.324","6.324","0.56%"
